"LOKALITA","rok","pocet_dni"
"Avasjo_BorgafjallD",1990,12
"Avasjo_BorgafjallD",1991,13
"Avasjo_BorgafjallD",1992,15
"Avasjo_BorgafjallD",1993,11
"Avasjo_BorgafjallD",1994,12
"Avasjo_BorgafjallD",1995,12
"Avasjo_BorgafjallD",1996,11
"Avasjo_BorgafjallD",1997,12
"Avasjo_BorgafjallD",1998,12
"Avasjo_BorgafjallD",1999,10
"Avasjo_BorgafjallD",2000,12
"Avasjo_BorgafjallD",2001,11
"Avasjo_BorgafjallD",2002,71
"Avasjo_BorgafjallD",2003,169
"Avasjo_BorgafjallD",2004,171
"Avasjo_BorgafjallD",2005,156
"Avasjo_BorgafjallD",2006,194
"Avasjo_BorgafjallD",2007,181
"Avasjo_BorgafjallD",2008,163
"Avasjo_BorgafjallD",2009,168
"Avasjo_BorgafjallD",2010,153
"Avasjo_BorgafjallD",2011,152
"Avasjo_BorgafjallD",2012,192
"Avasjo_BorgafjallD",2013,172
"Avasjo_BorgafjallD",2014,182
"Avasjo_BorgafjallD",2015,177
"Avasjo_BorgafjallD",2016,175
"Avasjo_BorgafjallD",2017,179
"Avasjo_BorgafjallD",2018,157
"Avasjo_BorgafjallD",2019,168
"Avasjo_BorgafjallD",2020,186
"Avasjo_BorgafjallD",2021,150
"Avasjo_BorgafjallD",2022,128
"Avasjo_BorgafjallD",2023,184
"Fokstugu",1990,134
"Fokstugu",1991,131
"Fokstugu",1992,192
"Fokstugu",1993,148
"Fokstugu",1994,148
"Fokstugu",1995,146
"Fokstugu",1996,140
"Fokstugu",1997,182
"Fokstugu",1998,120
"Fokstugu",1999,161
"Fokstugu",2000,130
"Fokstugu",2001,149
"Fokstugu",2002,176
"Fokstugu",2003,141
"Fokstugu",2004,157
"Fokstugu",2005,143
"Fokstugu",2006,135
"Fokstugu",2007,140
"Fokstugu",2008,158
"Fokstugu",2009,116
"Fokstugu",2010,136
"Fokstugu",2011,107
"Fokstugu",2012,122
"Fokstugu",2013,149
"Fokstugu",2014,125
"Fokstugu",2015,165
"Fokstugu",2016,189
"Fokstugu",2017,150
"Fokstugu",2018,145
"Fokstugu",2019,163
"Fokstugu",2020,161
"Fokstugu",2021,113
"Fokstugu",2022,119
"Fokstugu",2023,161
"Hoglekardalen",1990,161
"Hoglekardalen",1991,111
"Hoglekardalen",1992,134
"Hoglekardalen",1993,56
"Hoglekardalen",1994,53
"Hoglekardalen",1995,88
"Hoglekardalen",1996,64
"Hoglekardalen",1997,192
"Hoglekardalen",1998,171
"Hoglekardalen",1999,172
"Hoglekardalen",2000,175
"Hoglekardalen",2001,182
"Hoglekardalen",2002,183
"Hoglekardalen",2003,146
"Hoglekardalen",2004,155
"Hoglekardalen",2005,168
"Hoglekardalen",2006,200
"Hoglekardalen",2007,173
"Hoglekardalen",2008,165
"Hoglekardalen",2009,148
"Hoglekardalen",2010,180
"Hoglekardalen",2011,141
"Hoglekardalen",2012,173
"Hoglekardalen",2013,140
"Hoglekardalen",2014,111
"Hoglekardalen",2015,105
"Hoglekardalen",2016,150
"Hoglekardalen",2017,109
"Hoglekardalen",2018,118
"Hoglekardalen",2019,38
"Hoglekardalen",2020,26
"Hoglekardalen",2021,27
"Hoglekardalen",2022,34
"Hoglekardalen",2023,54
"Horska_Kvilda",1990,52
"Horska_Kvilda",1991,61
"Horska_Kvilda",1992,106
"Horska_Kvilda",1993,66
"Horska_Kvilda",1994,34
"Horska_Kvilda",1995,100
"Horska_Kvilda",1996,110
"Horska_Kvilda",1997,66
"Horska_Kvilda",1998,66
"Horska_Kvilda",1999,112
"Horska_Kvilda",2000,87
"Horska_Kvilda",2001,68
"Horska_Kvilda",2002,76
"Horska_Kvilda",2003,95
"Horska_Kvilda",2004,116
"Horska_Kvilda",2005,132
"Horska_Kvilda",2006,108
"Horska_Kvilda",2007,84
"Horska_Kvilda",2008,85
"Horska_Kvilda",2009,107
"Horska_Kvilda",2010,107
"Horska_Kvilda",2011,52
"Horska_Kvilda",2012,86
"Horska_Kvilda",2013,87
"Horska_Kvilda",2014,6
"Horska_Kvilda",2015,44
"Horska_Kvilda",2016,29
"Horska_Kvilda",2017,82
"Horska_Kvilda",2018,94
"Horska_Kvilda",2019,71
"Horska_Kvilda",2020,4
"Horska_Kvilda",2021,45
"Horska_Kvilda",2022,69
"Horska_Kvilda",2023,40
"Churanov",1990,56
"Churanov",1991,64
"Churanov",1992,108
"Churanov",1993,79
"Churanov",1994,57
"Churanov",1995,115
"Churanov",1996,112
"Churanov",1997,69
"Churanov",1998,82
"Churanov",1999,107
"Churanov",2000,93
"Churanov",2001,85
"Churanov",2002,91
"Churanov",2003,98
"Churanov",2004,141
"Churanov",2005,143
"Churanov",2006,114
"Churanov",2007,105
"Churanov",2008,107
"Churanov",2009,117
"Churanov",2010,109
"Churanov",2011,87
"Churanov",2012,103
"Churanov",2013,102
"Churanov",2014,8
"Churanov",2015,64
"Churanov",2016,62
"Churanov",2017,100
"Churanov",2018,119
"Churanov",2019,89
"Churanov",2020,15
"Churanov",2021,88
"Churanov",2022,85
"Churanov",2023,65
"Karlova_Studanka",1999,19
"Karlova_Studanka",2000,96
"Karlova_Studanka",2001,89
"Karlova_Studanka",2002,60
"Karlova_Studanka",2003,113
"Karlova_Studanka",2004,94
"Karlova_Studanka",2005,112
"Karlova_Studanka",2006,104
"Karlova_Studanka",2007,20
"Karlova_Studanka",2008,9
"Karlova_Studanka",2009,59
"Karlova_Studanka",2010,104
"Karlova_Studanka",2011,43
"Karlova_Studanka",2012,83
"Karlova_Studanka",2013,99
"Karlova_Studanka",2015,42
"Karlova_Studanka",2016,5
"Karlova_Studanka",2017,55
"Karlova_Studanka",2018,48
"Karlova_Studanka",2019,55
"Karlova_Studanka",2020,19
"Karlova_Studanka",2021,79
"Karlova_Studanka",2022,56
"Karlova_Studanka",2023,47
"Katterjakk",1990,206
"Katterjakk",1991,203
"Katterjakk",1992,243
"Katterjakk",1993,254
"Katterjakk",1994,241
"Katterjakk",1995,233
"Katterjakk",1996,233
"Katterjakk",1997,251
"Katterjakk",1998,232
"Katterjakk",1999,196
"Katterjakk",2000,174
"Katterjakk",2001,205
"Katterjakk",2002,165
"Katterjakk",2003,206
"Katterjakk",2004,202
"Katterjakk",2005,198
"Katterjakk",2006,213
"Katterjakk",2007,210
"Katterjakk",2008,206
"Katterjakk",2009,232
"Katterjakk",2010,232
"Katterjakk",2011,186
"Katterjakk",2012,227
"Katterjakk",2013,212
"Katterjakk",2014,216
"Katterjakk",2015,203
"Katterjakk",2016,179
"Katterjakk",2017,229
"Katterjakk",2018,172
"Katterjakk",2019,165
"Katterjakk",2020,142
"Katterjakk",2021,145
"Katterjakk",2022,102
"Katterjakk",2023,109
"Kiruna",1996,26
"Kiruna",1997,16
"Kiruna",1998,19
"Kiruna",1999,5
"Kiruna",2000,7
"Kiruna",2001,7
"Kiruna",2002,5
"Kiruna",2003,6
"Kiruna",2004,4
"Kiruna",2005,6
"Kiruna",2006,5
"Kiruna",2007,6
"Kiruna",2008,10
"Kiruna",2009,9
"Kiruna",2010,8
"Kiruna",2021,55
"Kiruna",2022,156
"Kiruna",2023,206
"Klippen_D",1990,194
"Klippen_D",1991,204
"Klippen_D",1992,221
"Klippen_D",1993,215
"Klippen_D",1994,208
"Klippen_D",1995,190
"Klippen_D",1996,202
"Klippen_D",1997,194
"Klippen_D",1998,187
"Klippen_D",1999,147
"Klippen_D",2000,168
"Klippen_D",2001,185
"Klippen_D",2002,195
"Klippen_D",2003,189
"Klippen_D",2004,192
"Klippen_D",2005,161
"Klippen_D",2006,187
"Klippen_D",2007,181
"Klippen_D",2008,167
"Klippen_D",2009,189
"Klippen_D",2010,204
"Klippen_D",2011,144
"Klippen_D",2012,205
"Klippen_D",2013,186
"Klippen_D",2014,172
"Klippen_D",2015,164
"Klippen_D",2016,191
"Klippen_D",2017,192
"Klippen_D",2018,173
"Labskabouda",1990,145
"Labskabouda",1991,171
"Labskabouda",1992,211
"Labskabouda",1993,164
"Labskabouda",1994,161
"Labskabouda",1995,167
"Labskabouda",1996,159
"Labskabouda",1997,150
"Labskabouda",1998,118
"Labskabouda",1999,90
"Labskabouda",2002,7
"Labskabouda",2003,134
